1355,"British Airways","\N","BA","BAW","SPEEDBIRD","United Kingdom","Y"
2183,"Emirates","\N","EK","UAE","EMIRATES","United Arab Emirates","Y"
4435,"Singapore Airlines","\N","SQ","SIA","SINGAPORE","Singapore","Y"
137,"Air France","\N","AF","AFR","AIRFRANS","France","Y"
3320,"Lufthansa","\N","LH","DLH","LUFTHANSA","Germany","Y"
3090,"KLM","\N","KL","KLM","KLM","Netherlands","Y"
1680,"Cathay Pacific","\N","CX","CPA","CATHAY","Hong Kong","Y"
24,"American Airlines","\N","AA","AAL","AMERICAN","United States","Y"
4089,"Qantas","\N","QF","QFA","QANTAS","Australia","Y"
324,"All Nippon Airways","ANA All Nippon Airways","NH","ANA","ALL NIPPON","Japan","Y"
218,"Air India","\N","AI","AIC","AIRINDIA","India","Y"
2143,"EgyptAir","\N","MS","MSR","EGYPTAIR","Egypt","Y"
