BA,1355,LHR,340,JFK,507,,0,744 777
BA,1355,JFK,507,LHR,340,,0,744 777
EK,2183,DXB,1382,LHR,340,,0,380 777
EK,2183,LHR,340,DXB,1382,,0,380 777
EK,2183,DXB,1382,SIN,3316,,0,380
EK,2183,SIN,3316,DXB,1382,,0,380
SQ,4435,SIN,3316,LHR,340,,0,380 77W
SQ,4435,LHR,340,SIN,3316,,0,380 77W
SQ,4435,SIN,3316,JFK,507,,0,77W
AF,137,CDG,1382,JFK,507,,0,77W 332
AF,137,JFK,507,CDG,1382,,0,77W 332
AF,137,CDG,1382,LHR,340,,0,319 320
LH,3320,FRA,340,JFK,507,,0,744 748
LH,3320,JFK,507,FRA,340,,0,744 748
LH,3320,FRA,340,LHR,340,,0,319 321
LH,3320,FRA,340,DXB,1382,,0,744
LH,3320,DXB,1382,FRA,340,,0,744
KL,3090,AMS,3077,JFK,507,,0,772 773
KL,3090,JFK,507,AMS,3077,,0,772 773
KL,3090,AMS,3077,LHR,340,,0,E90 737
CX,1680,HKG,3930,LHR,340,,0,744 77W
CX,1680,LHR,340,HKG,3930,,0,744 77W
CX,1680,HKG,3930,SIN,3316,,0,333 359
CX,1680,SIN,3316,HKG,3930,,0,333 359
AA,24,LAX,3484,JFK,507,,0,738 321
AA,24,JFK,507,LAX,3484,,0,738 321
AA,24,LAX,3484,ORD,3797,,0,738 321
AA,24,ORD,3797,JFK,507,,0,738 321
AA,24,DFW,3670,JFK,507,,0,321 738
AA,24,ATL,3682,JFK,507,,0,738 321
QF,4089,SYD,3361,LAX,3484,,0,744 380
QF,4089,LAX,3484,SYD,3361,,0,744 380
QF,4089,SYD,3361,LHR,340,,1,744
NH,324,NRT,2359,LAX,3484,,0,77W 789
NH,324,LAX,3484,NRT,2359,,0,77W 789
NH,324,NRT,2359,HKG,3930,,0,763 789
NH,324,HKG,3930,NRT,2359,,0,763 789
AI,218,DEL,1229,LHR,340,,0,788 77W
AI,218,LHR,340,DEL,1229,,0,788 77W
AI,218,DEL,1229,JFK,507,,0,788
AI,218,JFK,507,DEL,1229,,0,788
MS,2143,CAI,1128,LHR,340,,0,738
MS,2143,LHR,340,CAI,1128,,0,738
EK,2183,DXB,1382,DEL,1229,,0,773 380
EK,2183,DEL,1229,DXB,1382,,0,773 380
