1,"Goroka Airport","Goroka","Papua New Guinea","GKA","AYGA",-6.081689834590001,145.391998291,5282,10,"U","Pacific/Port_Moresby","airport","OurAirports"
2,"Madang Airport","Madang","Papua New Guinea","MAG","AYMD",-5.20707988739,145.789001465,20,10,"U","Pacific/Port_Moresby","airport","OurAirports"
3,"Mount Hagen Kagamuga Airport","Mount Hagen","Papua New Guinea","HGU","AYMH",-5.826789855957031,144.29600524902344,5388,10,"U","Pacific/Port_Moresby","airport","OurAirports"
4,"Nadzab Airport","Nadzab","Papua New Guinea","LAE","AYNZ",-6.569803,146.725977,239,10,"U","Pacific/Port_Moresby","airport","OurAirports"
507,"John F Kennedy Intl","New York","United States","JFK","KJFK",40.63972222,-73.77888889,13,-5,"A","America/New_York","airport","OurAirports"
340,"Heathrow","London","United Kingdom","LHR","EGLL",51.4775,-0.461389,83,0,"E","Europe/London","airport","OurAirports"
1382,"Dubai International Airport","Dubai","United Arab Emirates","DXB","OMDB",25.2527999878,55.3643989563,62,4,"U","Asia/Dubai","airport","OurAirports"
3316,"Singapore Changi Airport","Singapore","Singapore","SIN","WSSS",1.35019,103.994003,22,8,"N","Asia/Singapore","airport","OurAirports"
1382,"Charles de Gaulle International Airport","Paris","France","CDG","LFPG",49.012798,2.55,392,1,"E","Europe/Paris","airport","OurAirports"
340,"Frankfurt am Main Airport","Frankfurt","Germany","FRA","EDDF",50.026401,8.543129,364,1,"E","Europe/Berlin","airport","OurAirports"
3077,"Amsterdam Airport Schiphol","Amsterdam","Netherlands","AMS","EHAM",52.308601,4.76389,11,1,"E","Europe/Amsterdam","airport","OurAirports"
3930,"Hong Kong International Airport","Hong Kong","Hong Kong","HKG","VHHH",22.308901,113.915001,28,8,"U","Asia/Hong_Kong","airport","OurAirports"
3484,"Los Angeles International Airport","Los Angeles","United States","LAX","KLAX",33.942501,-118.407997,125,-8,"A","America/Los_Angeles","airport","OurAirports"
3361,"Sydney Kingsford Smith International Airport","Sydney","Australia","SYD","YSSY",-33.94609832763672,151.177001953125,21,10,"O","Australia/Sydney","airport","OurAirports"
2359,"Narita International Airport","Tokyo","Japan","NRT","RJAA",35.7647018433,140.386001587,141,9,"U","Asia/Tokyo","airport","OurAirports"
3797,"O'Hare International Airport","Chicago","United States","ORD","KORD",41.9842987060547,-87.9067001342773,672,-6,"A","America/Chicago","airport","OurAirports"
3670,"Dallas Fort Worth International Airport","Dallas-Fort Worth","United States","DFW","KDFW",32.896801,-97.038002,607,-6,"A","America/Chicago","airport","OurAirports"
3682,"Hartsfield Jackson Atlanta International Airport","Atlanta","United States","ATL","KATL",33.6367,-84.428101,1026,-5,"A","America/New_York","airport","OurAirports"
1229,"Indira Gandhi International Airport","New Delhi","India","DEL","VIDP",28.5665,77.103104,777,5,"N","Asia/Calcutta","airport","OurAirports"
1128,"Cairo International Airport","Cairo","Egypt","CAI","HECA",30.12190056,31.40559959,382,2,"U","Africa/Cairo","airport","OurAirports"
